Average electricity cost assumption: 0.05 USD/kWh,,,,,,,,,Month,"Monthly emissions, MtCO2e","Cumulative emissions, MtCO2e",,,,,,,Date,Energy source,% of total
Year,"Yearly consumption, TWh","Cumulative consumption, TWh",,,,,,,July 2010,0,0,,,,,,,,,
2010,0.0012,0.0012,,,,,,,August 2010,0,0,,,,,,,,,
2011,0.1378,0.139,,,,,,,September 2010,0,0.0001,,,,,,,,,
2012,0.0984,0.2374,,,,,,,October 2010,0.0001,0.0002,,,,,,,,,
2013,1.0566,1.2941,,,,,,,November 2010,0.0002,0.0003,,,,,,,,,
2014,4.7328,6.0269,,,,,,,December 2010,0.0003,0.0007,,,,,,,09/2019,Oil,1.1
2015,3.6189,9.6458,,,,,,,January 2011,0.0005,0.0012,,,,,,,09/2019,Gas,9.11
2016,5.7304,15.3763,,,,,,,February 2011,0.0009,0.002,,,,,,,09/2019,Coal,32.01
2017,12.9282,28.3045,,,,,,,March 2011,0.001,0.0031,,,,,,,,,
2018,43.321,71.6255,,,,,,,April 2011,0.0014,0.0044,,,,,,,,,
2019,54.6298,126.2553,,,,,,,May 2011,0.0062,0.0106,,,,,,,,,
2020,67.1381,193.3933,,,,,,,June 2011,0.022,0.0326,,,,,,,,,
2021,89.0022,282.3955,,,,,,,July 2011,0.0264,0.059,,,,,,,,,
2022,95.5296,377.9251,,,,,,,August 2011,0.0095,0.0685,,,,,,,10/2019,Oil,1.17
2023,121.134,499.0591,,,,,,,September 2011,0.0068,0.0753,,,,,,,10/2019,Gas,9.78
2024,132.5368,631.596,,,,,,,October 2011,0.0018,0.077,,,,,,,10/2019,Coal,36.24
,,,,,,,,,November 2011,0.0002,0.0772,,,,,,,,,
,,,,,,,,,December 2011,0.0009,0.0782,,,,,,,,,
,,,,,,,,,January 2012,0.0031,0.0813,,,,,,,,,
,,,,,,,,,February 2012,0.003,0.0843,,,,,,,,,
,,,,,,,,,March 2012,0.0035,0.0877,,,,,,,,,
,,,,,,,,,April 2012,0.0033,0.0911,,,,,,,11/2019,Oil,1.14
,,,,,,,,,May 2012,0.0037,0.0947,,,,,,,11/2019,Gas,10.51
,,,,,,,,,June 2012,0.0037,0.0984,,,,,,,11/2019,Coal,41.05
,,,,,,,,,July 2012,0.0042,0.1027,,,,,,,,,
,,,,,,,,,August 2012,0.0055,0.1082,,,,,,,,    ,
,,,,,,,,,September 2012,0.0066,0.1147,,,,,,,,  ,
,,,,,,,,,October 2012,0.0078,0.1225,,,,,,,,,
,,,,,,,,,November 2012,0.0072,0.1297,,,,,,,,,
,,,,,,,,,December 2012,0.0035,0.1332,,,,,,,12/2019,Oil,1.13
,,,,,,,,,January 2013,0.0025,0.1357,,,,,,,12/2019,Gas,9.94
,,,,,,,,,February 2013,0.0071,0.1428,,,,,,,12/2019,Coal,49.31
,,,,,,,,,March 2013,0.0124,0.1553,,,,,,,,,
,,,,,,,,,April 2013,0.0234,0.1786,,,,,,,,,
,,,,,,,,,May 2013,0.0193,0.198,,,,,,,,,
,,,,,,,,,June 2013,0.0281,0.226,,,,,,,,,
,,,,,,,,,July 2013,0.0157,0.2417,,,,,,,,,
,,,,,,,,,August 2013,0.0317,0.2734,,,,,,,01/2020,Oil,1.11
,,,,,,,,,September 2013,0.0468,0.3202,,,,,,,01/2020,Gas,10.26
,,,,,,,,,October 2013,0.0366,0.3568,,,,,,,01/2020,Coal,51.11
,,,,,,,,,November 2013,0.0734,0.4302,,,,,,,,,
,,,,,,,,,December 2013,0.2945,0.7248,,,,,,,,,
,,,,,,,,,January 2014,0.172,0.8967,,,,,,,,,
,,,,,,,,,February 2014,0.2438,1.1406,,,,,,,,,
,,,,,,,,,March 2014,0.2482,1.3888,,,,,,,,,
,,,,,,,,,April 2014,0.1662,1.555,,,,,,,02/2020,Oil,1.04
,,,,,,,,,May 2014,0.1747,1.7297,,,,,,,02/2020,Gas,10.1
,,,,,,,,,June 2014,0.2461,1.9758,,,,,,,02/2020,Coal,51.91
,,,,,,,,,July 2014,0.3247,2.3006,,,,,,,,,
,,,,,,,,,August 2014,0.3875,2.6881,,,,,,,,,
,,,,,,,,,September 2014,0.1448,2.8329,,,,,,,,,
,,,,,,,,,October 2014,0.1622,2.9951,,,,,,,,,
,,,,,,,,,November 2014,0.1747,3.1697,,,,,,,,,
,,,,,,,,,December 2014,0.1796,3.3493,,,,,,,03/2020,Oil,1.22
,,,,,,,,,January 2015,0.1793,3.5286,,,,,,,03/2020,Gas,12.14
,,,,,,,,,February 2015,0.1418,3.6704,,,,,,,03/2020,Coal,51.26
,,,,,,,,,March 2015,0.1604,3.8307,,,,,,,,,
,,,,,,,,,April 2015,0.139,3.9697,,,,,,,,,
,,,,,,,,,May 2015,0.1568,4.1265,,,,,,,,,
,,,,,,,,,June 2015,0.1602,4.2867,,,,,,,,,
,,,,,,,,,July 2015,0.1734,4.46,,,,,,,,,
,,,,,,,,,August 2015,0.1686,4.6286,,,,,,,04/2020,Oil,1.32
,,,,,,,,,September 2015,0.1216,4.7502,,,,,,,04/2020,Gas,13.05
,,,,,,,,,October 2015,0.1316,4.8818,,,,,,,04/2020,Coal,50.49
,,,,,,,,,November 2015,0.1794,5.0612,,,,,,,,,
,,,,,,,,,December 2015,0.2497,5.3109,,,,,,,,,
,,,,,,,,,January 2016,0.1989,5.5098,,,,,,,,,
,,,,,,,,,February 2016,0.2359,5.7457,,,,,,,,,
,,,,,,,,,March 2016,0.267,6.0128,,,,,,,,,
,,,,,,,,,April 2016,0.2777,6.2905,,,,,,,05/2020,Oil,1.42
,,,,,,,,,May 2016,0.3156,6.6061,,,,,,,05/2020,Gas,15.25
,,,,,,,,,June 2016,0.3208,6.9269,,,,,,,05/2020,Coal,41.03
,,,,,,,,,July 2016,0.3207,7.2475,,,,,,,,,
,,,,,,,,,August 2016,0.1971,7.4446,,,,,,,,,
,,,,,,,,,September 2016,0.1988,7.6434,,,,,,,,,
