2015,2019,2021,2022,2023,2024
Power (kW),Power (kW),Power (kW),Power (kW),Power (kW),Power (kW)
17808,10096,"29,899.23","21,100.00","22,786.00","22,703.00"
8209,7438.28,"10,096.00","29,899.23","38,698.36","29,899.23"
7890,15371,"7,438.28","2,942.13",,"6,015.77"
12659.89,18482,"15,371.00","10,096.00","29,899.23","7,404.40"
3945,,"2,528.00","7,438.28","7,106.82","10,096.00"
2325,2384.24,"2,646.00","15,371.00","5,194.00","7,438.28"
2834,7578.1,"18,482.00","2,589.00","7,493.74","15,371.00"
4510,1649.25,"1,764.22","2,646.00","4,158.90","2,589.00"
2301,,"2,252.17","18,482.00","10,096.00","2,646.00"
1972,,,921.48,,"18,482.00"
3380,1367,,"1,764.22","1,661.57",
1800,8209,"1,600.32","2,252.17","7,438.28",921.48
1498.9,7890,"1,468.00",,"15,371.00","1,764.22"
1498.9,3939,"1,476.00",,"2,945.00",
4499.87,,"2,384.24",,"2,646.00","2,252.17"
,2718.7,"7,578.10",,"18,482.00",
1227,1320,,"4,959.47","1,207.00",476.63
,3178,"3,905.83",,,964.00
,,,"1,600.32","1,320.00",
3422.67,12659.89,,"1,468.00",921.48,
1480.83,,"1,367.00","1,476.00","1,764.22",
1398.61,,582.63,,"5,752.90","4,959.47"
1512,797.54,"15,414.00","2,384.24","5,301.00",
4040,3945,"15,414.00","7,578.10","2,252.17","1,600.32"
1384,792.08,,,,"1,468.00"
,,,,,"1,476.00"
,,,"3,905.83","6,283.91",
1134,,,,476.63,"2,384.24"
2118,1632,,308.68,964.00,"7,578.10"
997,1361,"3,939.00",,,
,4407,,"3,296.00",732.06,
821.88,1353.95,"2,718.70","3,296.00",,"3,905.83"
,1353.95,"1,320.00","1,367.00",,
,3615,"3,178.00",582.63,,308.68
,1635,,,,"1,033.00"
934.8,2834,390.25,,"4,959.47",
3575.63,1685.73,,,,"3,296.00"
,4150,,,,"3,296.00"
,,"1,390.95",,"1,600.32","1,367.00"
,1727,,,"1,468.00",582.63
657,,,"3,939.00",,
1606,,,,,
,380,384.10,,"2,384.24",
2251,1972,,"1,320.00",,
,845.09,797.54,"3,178.00","7,578.10",
,,943.12,,,
1260,917,377.00,,,
2580,1800,512.08,390.25,,"3,939.00"
,1897.02,"1,672.00",,,
1436.72,1897.02,792.08,,,904.72
680,,,"1,390.95",,904.72
2200,1345.28,358.79,,"3,905.83",
,1353.23,,,,"1,320.00"
580.9,,"1,550.10",,308.68,"3,178.00"
,,"1,655.00",,316.88,
,1498.9,,384.10,"1,033.00",
3980,1498.9,673.00,,,390.25
,,,"2,010.10","3,296.00",
706,5175,"1,436.00",797.54,"3,296.00",
493,349.5,,943.12,"1,367.00",
493.12,349.5,,377.00,"1,388.81",
2910,,,512.08,582.63,
500,1134,"1,632.00","1,672.00",725.90,"1,390.95"
4590,,,792.08,,
1176.8,1227,"1,361.00",,,
620,1652.4,,358.79,,
,6327.55,"1,222.20",,,
,4819.5,,"1,550.10",,384.10
,676.3,297.26,"1,294.72",,
,748.1,"4,407.00","1,294.72",,195.24
,,,"1,655.00",240.29,"2,010.10"
,,"1,401.00",,,797.54
510,1116,"1,432.00",,,943.12
855.1,,"1,353.95",673.00,"3,939.00",377.00
,1382.4,"1,353.95",,,
,3422.67,"1,635.00",,,512.08
1015.6,1480.83,"2,834.00","1,436.00",904.72,146.20
2800,1347.84,"1,685.73",,904.72,"1,672.00"
,1347.84,,310.99,,310.46
410.9,697.51,"1,070.00",,,792.08
,1398.61,"4,150.00",,"1,320.00",
,,,"1,632.00","3,178.00",358.79
,13620,"1,436.00",,,
,13620,,"1,215.53","1,100.00","1,550.10"
568.5,,,,,"1,294.72"
1074,954.73,,"1,361.00",673.56,"1,294.72"
,4040,"1,727.00",,,"1,655.00"
255.3,710,,"1,222.20",,
924.16,1384,,,390.25,
1155.07,1430,,"4,407.00",,673.00
684.5,1465.78,,,,
387.2,692.05,,311.14,,"1,436.00"
365.8,,183.93,"1,432.00",,574.00
405,,546.58,"1,353.95",,
540,835,380.00,"1,353.95","1,390.95",310.99
789.66,740,"1,225.53","1,635.00",,
328,,845.09,"2,834.00",,
328.75,,960.00,"1,685.73",,"1,632.00"
328,1359.38,,,,953.75
328.7,1359.38,146.53,"1,070.00",,
328.75,,917.00,"4,150.00","1,212.51","1,215.53"
269.94,1244.16,"1,800.00",,384.10,"1,361.00"
775.04,608,"1,897.02",243.95,,
775.04,,"1,897.02","1,436.00",195.24,"1,222.20"
,,647.99,146.56,"2,010.10",
,240,,,797.54,"4,407.00"
320,530,"1,353.23",,"1,491.14",
,1134,,,943.12,311.14
,,,"1,727.00",377.00,"1,432.00"
,740,,,,"1,353.95"
450,830.4,,,,"1,353.95"
720,,,,,"1,635.00"
972,830.2,919.42,,512.08,"2,834.00"
,1625,"1,498.90",,146.20,"1,685.73"
882,,"1,498.90",183.93,"1,672.00",
370,,829.00,546.58,310.46,
,495.86,,380.00,,"1,070.00"
,,,"1,225.53",358.79,
,997,,845.09,,"4,150.00"
,,310.00,960.00,352.80,
246.56,1470,"5,175.00",868.74,"1,550.10",243.95
246.56,,349.50,,"1,118.37","1,436.00"
675,,349.50,,"1,294.72",146.56
179.15,,565.08,917.00,"1,294.72",834.04
237,1200,"1,134.00","1,800.00","1,655.00",
,,887.00,,,
,512,,,,
,1216,"1,227.00","1,897.02",117.08,"1,727.00"
226,1216,389.76,"1,897.02",673.00,
,660,,647.99,,
,657,690.00,,,
540,,"6,327.55","1,353.23","1,436.00",
,410,"4,819.50",,574.00,
,3012,,,,
279,520,,,310.99,
,,637.95,,941.56,183.93
,732.78,691.20,,"1,026.64",546.58
1040.18,732.4,,,"1,200.00",380.00
,,748.10,,"1,200.00","1,225.53"
395,1042,,919.42,"1,200.00",845.09
225.5,600,"1,116.00","1,498.90","1,200.00",960.00
,287,,"1,498.90",,
193.4,,,792.00,,
,529,,,"1,632.00",
,,,829.00,"1,062.00",
,240,,86.06,,
498.53,,,,"1,215.53",
,,,,,868.74
505.5,1100,502.70,,"1,361.00",
544,,,,,
544,842,"1,480.83",310.00,,
,1100,"1,347.84","5,175.00","1,222.20",
205,544.48,"1,347.84",349.50,,
,,697.51,,,917.00
334,1320,,565.08,"4,407.00","1,800.00"
407.29,,,"1,134.00",,
,,,887.00,311.14,178.97
215.6,1000,,,"1,432.00",
,,,,"1,635.00",
,,,"1,227.00",350.47,
,,,389.76,"2,834.00",
,,,,205.62,"1,897.02"
519,,750.00,,"1,685.73","1,897.02"
,1360.8,,,,
,,,690.00,799.00,287.00
,585,,"6,327.55",,
866.82,,,,"1,070.00",
537,2880,,,,
,,,,,"1,353.23"
,,,,"4,150.00",
,,,"4,819.50",,
209.95,1050,,,243.95,
165.3,,,,"1,436.00",
222.7,807.6,"13,620.00",637.95,138.94,
,,"13,620.00",691.20,,
,,,,,205.35
,3747.07,,748.10,146.56,919.42
,,,,,671.97
,,792.00,"1,116.00",,"1,498.90"
164,,,,,"1,498.90"
164.38,,163.65,,,792.00
164.38,,,,,
,,,,"1,727.00",
347.27,,,140.72,,
,,,,,
400.68,,,,169.03,829.00
421.2,,954.73,,,86.06
448,,"4,040.00",,,
500,,105.76,,67.31,
,,710.00,,,78.94
159.64,,"1,384.00",,183.93,
369.9,,"1,430.00",,546.58,
,,,,380.00,
,,"1,465.78",,"1,225.53",
,,692.05,,960.00,310.00
421.2,,,,,
356.82,,,,,
,,,,,
386.56,,,,,"5,175.00"
453.6,,,,,349.50
414.8,,,,,
373.97,,835.00,502.70,868.74,"1,134.00"
373.97,,740.00,,,887.00
205,,,,,
,,,"1,480.83",,
,,,,,"1,227.00"
,,,"1,347.84",917.00,
,,,"1,347.84",,389.76
,,"1,359.38",697.51,,
349.6,,"1,359.38",,"1,800.00",
446.4,,,,,
,,,,178.97,
,,,,,
,,89.94,,,
,,,,,
,,486.85,,,690.00
,,,,,"6,327.55"
,,,,,
,,494.51,750.00,365.21,
,,,,"1,897.02",
,,,,"1,897.02",
165.3,,,,,
,,608.00,,,
347.26,,,,,
,,,,287.00,
416.78,,,,,
,,563.85,,,
174,,,,,"4,819.50"
174,,,,155.76,110.24
,,377.21,,"1,353.23",
,,,,,
,,,"13,620.00",,
,,,"13,620.00",,637.95
,,,,,691.20
,,240.00,,,
220,,,,,748.10
,,,,,
,,530.00,,,535.70
,,,,,
,,,792.00,205.35,"1,116.00"
,,"1,134.00",,919.42,
,,,163.65,671.97,
200,,,,"1,498.90",
294,,740.00,,"1,498.90",
,,,,792.00,
358.4,,,,,
,,,,,
,,,,,
,,,954.73,,
,,,"4,040.00",829.00,
,,"1,625.00",105.76,614.87,
,3306.24,,710.00,86.06,
,,,"1,384.00",,
,956.25,,,,
,956.25,,"1,430.00",67.87,44.07
93,601,,,,
,,,"1,465.78",,
1275,,265.00,692.05,,
312,,,,,
129.4,,430.00,,310.00,
319,,,,,
,530,495.86,,,
,3575.63,511.54,,,
,,260.00,,,502.70
381.19,,,835.00,"5,175.00",
388.8,1150,,740.00,349.50,
315.9,960,,,,"1,480.83"
,,,,"1,134.00",
,,,,887.00,"1,347.84"
,,,,,"1,347.84"
,,997.00,,,697.51
,,,,,
,603.4,,,,99.81
1030,,,,"1,227.00",
,,,,,
,,,,389.76,
,,590.00,,,
192,,,,,
81.41,,,,,
,431,,,,
78.41,,,89.94,,
,4806,,,,750.00
,,"1,470.00",,,
,,250.00,,690.00,
365.5,159.94,,,"6,327.55",
