Date,Energy source,% of total
,,
,,
,,
,,
,,
09/2019,Oil,1.1
09/2019,Gas,9.11
09/2019,Coal,32.01
,,
,,
,,
,,
,,
10/2019,Oil,1.17
10/2019,Gas,9.78
10/2019,Coal,36.24
,,
,,
,,
,,
,,
11/2019,Oil,1.14
11/2019,Gas,10.51
11/2019,Coal,41.05
,,
,    ,
,  ,
,,
,,
12/2019,Oil,1.13
12/2019,Gas,9.94
12/2019,Coal,49.31
,,
,,
,,
,,
,,
01/2020,Oil,1.11
01/2020,Gas,10.26
01/2020,Coal,51.11
,,
,,
,,
,,
,,
02/2020,Oil,1.04
02/2020,Gas,10.1
02/2020,Coal,51.91
,,
,,
,,
,,
,,
03/2020,Oil,1.22
03/2020,Gas,12.14
03/2020,Coal,51.26
,,
,,
,,
,,
,,
04/2020,Oil,1.32
04/2020,Gas,13.05
04/2020,Coal,50.49
,,
,,
,,
,,
,,
05/2020,Oil,1.42
05/2020,Gas,15.25
05/2020,Coal,41.03
,,
,,
,,
,,
,,
06/2020,Oil,1.15
06/2020,Gas,13.4
06/2020,Coal,32.63
,,
,,
,,
,,
,,
07/2020,Oil,1.04
07/2020,Gas,12.38
07/2020,Coal,31.25
,,
,,
,,
,,
,,
08/2020,Oil,0.97
08/2020,Gas,12.2
08/2020,Coal,31.45
,,
,,
,,
,,
,,
09/2020,Oil,0.97
09/2020,Gas,11.58
09/2020,Coal,27.62
,,
,,
,,
,,
,,
10/2020,Oil,1.07
10/2020,Gas,11.42
10/2020,Coal,31.61
,,
,,
,,
,,
,,
11/2020,Oil,1.49
11/2020,Gas,15.36
11/2020,Coal,39.19
,,
,,
,,
,,
,,
12/2020,Oil,1.73
12/2020,Gas,16.77
12/2020,Coal,44.86
,,
,,
,,
,,
,,
01/2021,Oil,1.59
01/2021,Gas,16.29
01/2021,Coal,47.01
,,
,,
,,
,,
,,
02/2021,Oil,1.58
02/2021,Gas,17.02
02/2021,Coal,46.26
,,
,,
,,
,,
,,
03/2021,Oil,1.69
03/2021,Gas,17.86
03/2021,Coal,46.31
,,
,,
,,
,,
,,
04/2021,Oil,1.72
04/2021,Gas,18.54
04/2021,Coal,43
,,
,,
,,
,,
,,
05/2021,Oil,1.69
05/2021,Gas,18.85
05/2021,Coal,40.46
,,
,,
,,
,,
,,
06/2021,Oil,1.6
06/2021,Gas,21.7
06/2021,Coal,31.81
,,
,,
,,
,,
,,
07/2021,Oil,2.03
07/2021,Gas,31.87
07/2021,Coal,26.65
,,
,,
,,
,,
,,
08/2021,Oil,1.8
08/2021,Gas,31.32
08/2021,Coal,28.83
,,
,,
,,
,,
,,
09/2021,Oil,0.94
09/2021,Gas,24.25
09/2021,Coal,38.86
,,
,,
,,
,,
,,
10/2021,Oil,1.07
10/2021,Gas,25.64
10/2021,Coal,37.13
,,
,,
,,
,,
11/2021,,10.99
11/2021,Oil,1.06
11/2021,Gas,26.11
11/2021,Coal,36.25
,,
,,
,,
,,
,,
12/2021,Oil,0.93
12/2021,Gas,25.56
12/2021,Coal,36.25
,,
,,
,,
,,
,,
01/2022,Oil,0.89
01/2022,Gas,24.97
01/2022,Coal,36.55
